c_Sport,c_Season,c_Event,c_Gender,n_DateSort,c_Person,c_PersonNatio,c_NOC,c_Result,n_ResultSort,c_Class
Swimming,2018,100m Backstroke,Men,20180809,Ryan Murphy,United States,United States,51.94,51940,Elite
Swimming,2018,100m Backstroke,Men,20180822,Xu Jiayu,China,China,52.30,52300,Elite
Swimming,2018,100m Backstroke,Men,20180806,Kliment Kolesnikov,Russia,Russia,52.51,52510,Elite
Swimming,2018,100m Backstroke,Men,20180819,Ryosuke Irie,Japan,Japan,52.53,52530,Elite
Swimming,2018,100m Backstroke,Men,20180728,Matt Grevers,United States,United States,52.55,52550,Elite
Swimming,2018,100m Backstroke,Men,20180809,Evgeniy Rylov,Russia,Russia,52.66,52660,Elite
Swimming,2018,100m Backstroke,Men,20180810,Mitch Larkin,Australia,Australia,52.88,52880,Elite
Swimming,2018,100m Backstroke,Men,20180806,Grigoriy Tarasevich,Russia,Russia,53.22,53220,Elite
Swimming,2018,100m Backstroke,Men,20180728,Justin Ress,United States,United States,53.26,53260,Elite
Swimming,2018,100m Backstroke,Men,20180527,Robert Glinta,Romania,Romania,53.32,53320,Elite
Swimming,2018,100m Backstroke,Men,20180805,Simone Sabbioni,Italy,Italy,53.39,53390,Elite
Swimming,2018,100m Backstroke,Men,20180705,Daniel-Cristian Martin,Romania,Romania,53.52,53520,Elite
Swimming,2018,100m Backstroke,Men,20180810,Michael Andrew,United States,United States,53.55,53550,Elite
Swimming,2018,100m Backstroke,Men,20180403,Junya Koga,Japan,Japan,53.60,53600,Elite
Swimming,2018,100m Backstroke,Men,20180423,Nikita Ulyanov,Russia,Russia,53.60,53600,Elite
Swimming,2018,100m Backstroke,Men,20181008,Thomas Ceccon,Italy,Italy,53.65,53650,Elite
Swimming,2018,100m Backstroke,Men,20180713,Mark Nikolaev,Russia,Russia,53.68,53680,Elite
Swimming,2018,100m Backstroke,Men,20180806,Apostolos Christou,Greece,Greece,53.72,53720,Elite
Swimming,2018,100m Backstroke,Men,20180809,Gabriel Fantoni,Brazil,Brazil,53.72,53720,Elite
Swimming,2018,100m Backstroke,Men,20180525,Kacper Stokowski,Poland,Poland,53.82,53820,Elite
Swimming,2018,100m Backstroke,Men,20180728,Bryce Mefford,United States,United States,53.84,53840,Elite
Swimming,2018,100m Backstroke,Men,20180405,Markus Thormeyer,Canada,Canada,53.86,53860,Elite
Swimming,2018,100m Backstroke,Men,20180630,Bradley Woodward,Australia,Australia,53.89,53890,Elite
Swimming,2018,100m Backstroke,Men,20180810,Javier Acevedo,Canada,Canada,53.90,53900,Elite
Swimming,2018,100m Backstroke,Men,20181130,Christopher Reid,South Africa,South Africa,53.92,53920,Elite
Swimming,2018,100m Backstroke,Men,20180806,Christian Diener,Germany,Germany,53.92,53920,Elite
Swimming,2018,100m Backstroke,Men,20180303,Jacob Pebley,United States,United States,53.93,53930,Elite
Swimming,2018,100m Backstroke,Men,20180407,Shane Ryan,Ireland,Ireland,53.96,53960,Elite
Swimming,2018,100m Backstroke,Men,20180630,Tristan Hollard,Australia,Australia,53.98,53980,Elite
Swimming,2018,100m Backstroke,Men,20180427,Yakov Toumarkin,Israel,Israel,54.00,54000,Elite
Swimming,2018,100m Backstroke,Men,20180728,Daniel Carr,United States,United States,54.01,54010,Elite
Swimming,2018,100m Backstroke,Men,20180728,Coleman Stewart,United States,United States,54.03,54030,Elite
Swimming,2018,100m Backstroke,Men,20181221,Richárd Bohus,Hungary,Hungary,54.05,54050,Elite
Swimming,2018,100m Backstroke,Men,20181107,Guilherme Guido,Brazil,Brazil,54.06,54060,Elite
Swimming,2018,100m Backstroke,Men,20180728,Austin Katz,United States,United States,54.06,54060,Elite
Swimming,2018,100m Backstroke,Men,20180404,Masaki Kaneko,Japan,Japan,54.10,54100,Elite
Swimming,2018,100m Backstroke,Men,20180413,Li Guangyuan,China,China,54.13,54130,Elite
Swimming,2018,100m Backstroke,Men,20180427,Lee Ju-Ho,Korea,Korea,54.17,54170,Elite
Swimming,2018,100m Backstroke,Men,20180728,Dean Farris,United States,United States,54.21,54210,Elite
Swimming,2018,100m Backstroke,Men,20180407,Chris Walker-Hebborn,England,Great Britain,54.23,54230,Elite
Swimming,2018,100m Backstroke,Men,20180805,Jan-Philip Glania,Germany,Germany,54.24,54240,Elite
Swimming,2018,100m Backstroke,Men,20180403,Junya Hasegawa,Japan,Japan,54.24,54240,Elite
Swimming,2018,100m Backstroke,Men,20180813,Matteo Milli,Italy,Italy,54.25,54250,Elite
Swimming,2018,100m Backstroke,Men,20180427,Park Seon-Kwan,Korea,Korea,54.25,54250,Elite
Swimming,2018,100m Backstroke,Men,20180202,Mikita Tsmyh,Belarus,Belarus,54.27,54270,Elite
Swimming,2018,100m Backstroke,Men,20180902,Hayate Matsubara,Japan,Japan,54.27,54270,Elite
Swimming,2018,100m Backstroke,Men,20180728,Nick Alexander,United States,United States,54.34,54340,Elite
Swimming,2018,100m Backstroke,Men,20180406,Luke Greenbank,England,Great Britain,54.37,54370,Elite
Swimming,2018,100m Backstroke,Men,20180702,Alexander Graham,Australia,Australia,54.37,54370,Elite
Swimming,2018,100m Backstroke,Men,20180524,Paul Gabriel Bedel,France,France,54.37,54370,Elite
Swimming,2018,100m Backstroke,Men,20180805,Conor Ferguson,Northern Ireland,Ireland,54.38,54380,Elite
Swimming,2018,100m Backstroke,Men,20180525,Stanislas Huille,France,France,54.39,54390,Elite
Swimming,2018,100m Backstroke,Men,20180228,Benjamin Treffers,Australia,Australia,54.40,54400,Elite
Swimming,2018,100m Backstroke,Men,20180410,Christopher Ciccarese,Italy,Italy,54.40,54400,Elite
Swimming,2018,100m Backstroke,Men,20180728,Nicolas Albiero,United States,United States,54.43,54430,Elite
Swimming,2018,100m Backstroke,Men,20180511,Nikos Sofianidis,Greece,Greece,54.47,54470,Elite
Swimming,2018,100m Backstroke,Men,20180228,Josh Beaver,Australia,Australia,54.48,54480,Elite
Swimming,2018,100m Backstroke,Men,20180411,Matteo Restivo,Italy,Italy,54.48,54480,Elite
Swimming,2018,100m Backstroke,Men,20180525,Maxence Orange,France,France,54.48,54480,Elite
Swimming,2018,100m Backstroke,Men,20180525,Masato Sakai,Japan,Japan,54.48,54480,Elite
Swimming,2018,100m Backstroke,Men,20180806,Nicholas Pyle,Great Britain,Great Britain,54.50,54500,Elite
Swimming,2018,100m Backstroke,Men,20180728,Shaine Casas,United States,United States,54.51,54510,Elite
Swimming,2018,100m Backstroke,Men,20180406,Xavier Castelli,Wales,Great Britain,54.60,54600,Elite
Swimming,2018,100m Backstroke,Men,20180805,Brodie Williams,Great Britain,Great Britain,54.60,54600,Elite
Swimming,2018,100m Backstroke,Men,20180805,Tomáš Franta,Czech Republic,Czech Republic,54.63,54630,Elite
Swimming,2018,100m Backstroke,Men,20181130,Luke Kaliszak,United States,United States,54.65,54650,Elite
Swimming,2018,100m Backstroke,Men,20180704,Kristóf Milák,Hungary,Hungary,54.67,54670,Elite
Swimming,2018,100m Backstroke,Men,20180728,Joey Reilman,United States,United States,54.68,54680,Elite
Swimming,2018,100m Backstroke,Men,20180824,Zheng Wen Quah,Singapore,Singapore,54.69,54690,Elite
Swimming,2018,100m Backstroke,Men,20180809,Gábor Balog,Hungary,Hungary,54.69,54690,Elite
Swimming,2018,100m Backstroke,Men,20180806,Gustav Hokfelt,Sweden,Sweden,54.71,54710,Elite
Swimming,2018,100m Backstroke,Men,20180403,Ryota Naitou,Japan,Japan,54.74,54740,Elite
Swimming,2018,100m Backstroke,Men,20180413,Wang Guanbin,China,China,54.74,54740,Elite
Swimming,2018,100m Backstroke,Men,20180705,Roman Mityukov,Switzerland,Switzerland,54.75,54750,Elite
Swimming,2018,100m Backstroke,Men,20180411,Luca Mencarini,Italy,Italy,54.77,54770,Elite
Swimming,2018,100m Backstroke,Men,20180719,Ole Braunschweig,Germany,Germany,54.79,54790,Elite
Swimming,2018,100m Backstroke,Men,20180403,Syunya Nishimura,Japan,Japan,54.79,54790,Elite
Swimming,2018,100m Backstroke,Men,20180412,Danas Rapšys,Lithuania,Lithuania,54.79,54790,Elite
Swimming,2018,100m Backstroke,Men,20180728,Christopher Staka,United States,United States,54.80,54800,Elite
Swimming,2018,100m Backstroke,Men,20180427,Kang Ji-Seok,Korea,Korea,54.80,54800,Elite
Swimming,2018,100m Backstroke,Men,20180806,Thierry Bollin,Switzerland,Switzerland,54.81,54810,Elite
Swimming,2018,100m Backstroke,Men,20180423,Dmitry Maltsev,Russia,Russia,54.82,54820,Elite
Swimming,2018,100m Backstroke,Men,20180708,Michael Schaeffner,Germany,Germany,54.83,54830,Elite
Swimming,2018,100m Backstroke,Men,20180328,Péter Bernek,Hungary,Hungary,54.83,54830,Elite
Swimming,2018,100m Backstroke,Men,20180722,Cameron Tysoe,Australia,Australia,54.84,54840,Elite
Swimming,2018,100m Backstroke,Men,20180725,Omar Pinzón,Colombia,Colombia,54.88,54880,Elite
Swimming,2018,100m Backstroke,Men,20180406,Corey Main,New Zealand,New Zealand,54.88,54880,Elite
